Complaint_Text,Standardized_Complaint,Category,Sentiment,Priority,Village,Date,Pincode,lang
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Nimbut,30-08-2024,413110,en
Large potholes on road,road_potholes,Road,Negative,Low,Someshwar,25-08-2025,412306,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Pandare,03-08-2024,413103,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Morgaon,21-06-2025,413304,en
Water tanker not arrived for 3 days,no_water_supply,Water,Negative,High,Nimbut,24-08-2024,413110,en
Electric transformer is not working in Indapur.,electricity_supply_disrupted,Electricity,Negative,High,Katphal,12-09-2024,413111,en
No electricity for 6 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Katphal,29-05-2024,413111,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Morgaon,06-06-2025,413304,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,31-05-2025,413111,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Katphal,17-12-2024,413111,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Pandare,04-10-2024,413103,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Malegaon,27-06-2025,413115,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Katphal,02-12-2024,413111,en
No water supply in the village since 1 days.,no_water_supply,Water,Negative,High,Someshwar,25-05-2025,412306,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Baramati,30-01-2025,413102,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Supa,29-11-2024,413109,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Nimbut,14-09-2024,413110,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Baramati,08-10-2024,413102,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Pandare,07-11-2024,413103,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Morgaon,07-06-2025,413304,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Malegaon,18-07-2025,413115,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Katphal,26-08-2025,413111,en
The road from Jejuri to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Morgaon,30-03-2025,413304,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Nimbut,08-04-2024,413110,en
Garbage is not collected regularly in Baramati.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,11-04-2024,413111,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,03-03-2024,413304,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Baramati,26-03-2025,413102,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Someshwar,11-03-2024,412306,en
Garbage is not collected regularly in Baramati.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,16-01-2025,413111,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Someshwar,18-07-2025,412306,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,16-06-2024,413304,en
Electric transformer is not working in Malegaon.,electricity_supply_disrupted,Electricity,Negative,High,Katphal,23-01-2024,413111,en
Garbage is not collected regularly in Baramati.,garbage_not_collected,Sanitation,Negative,Medium,Someshwar,28-01-2025,412306,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Morgaon,09-10-2024,413304,en
The road from Loni to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Katphal,16-11-2024,413111,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Nimbut,11-09-2025,413110,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Supa,12-10-2024,413109,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Pandare,30-07-2025,413103,en
Garbage is not collected regularly in Jejuri.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,04-04-2024,413111,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Baramati,05-04-2025,413102,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Supa,20-01-2025,413109,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Morgaon,19-12-2024,413304,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Morgaon,11-02-2025,413304,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Morgaon,04-07-2025,413304,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Pandare,23-12-2024,413103,en
The road from Malegaon to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Pandare,05-04-2024,413103,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Baramati,19-03-2024,413102,en
Water tanker not arrived for 8 days,no_water_supply,Water,Negative,High,Malegaon,13-08-2024,413115,en
No electricity for 8 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Supa,02-12-2024,413109,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Malegaon,03-10-2024,413115,en
The road from Baramati to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Malegaon,25-12-2024,413115,en
Electric transformer is not working in Baramati.,electricity_supply_disrupted,Electricity,Negative,High,Pandare,09-08-2024,413103,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Supa,21-02-2024,413109,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Malegaon,17-08-2025,413115,en
Large potholes on road,road_potholes,Road,Negative,Low,Malegaon,26-03-2024,413115,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Pandare,10-04-2025,413103,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Supa,12-11-2024,413109,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Someshwar,08-05-2025,412306,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Pandare,23-08-2025,413103,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Someshwar,22-02-2025,412306,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Katphal,26-12-2024,413111,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Morgaon,29-07-2024,413304,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Nimbut,22-04-2025,413110,en
Garbage is not collected regularly in Jejuri.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,21-03-2024,413111,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Baramati,28-02-2024,413102,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Katphal,21-12-2024,413111,en
Large potholes on road,road_potholes,Road,Negative,Low,Supa,27-03-2024,413109,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Katphal,10-07-2025,413111,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Nimbut,23-01-2024,413110,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Someshwar,14-09-2024,412306,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Baramati,04-10-2024,413102,en
Village health worker is absent since 9 days.,health_worker_absent,Health,Negative,Medium,Katphal,21-08-2024,413111,en
The road from Someshwar to nearby town is full of potholes.,road_potholes,Road,Negative,Low,Pandare,19-03-2025,413103,en
No water supply in the village since 2 days.,no_water_supply,Water,Negative,High,Morgaon,23-07-2025,413304,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Katphal,20-06-2025,413111,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Malegaon,31-01-2024,413115,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Pandare,20-06-2024,413103,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Malegaon,02-03-2025,413115,en
Electric transformer is not working in Baramati.,electricity_supply_disrupted,Electricity,Negative,High,Malegaon,15-03-2024,413115,en
Large potholes on road,road_potholes,Road,Negative,Low,Pandare,03-07-2024,413103,en
No electricity for 5 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Malegaon,25-03-2025,413115,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Morgaon,24-02-2024,413304,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Nimbut,05-08-2025,413110,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Baramati,15-10-2024,413102,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Malegaon,01-08-2024,413115,en
Garbage is not collected regularly in Bhigwan.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,15-03-2025,413111,en
Water tanker not arrived for 3 days,no_water_supply,Water,Negative,High,Supa,17-06-2024,413109,en
Village health worker is absent since 1 days.,health_worker_absent,Health,Negative,Medium,Supa,03-03-2025,413109,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Malegaon,11-01-2024,413115,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Morgaon,08-01-2024,413304,en
Library in village remains closed.,library_closed,Others,Negative,Low,Baramati,28-06-2025,413102,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Nimbut,31-07-2025,413110,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Supa,16-10-2024,413109,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Someshwar,11-03-2024,412306,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Katphal,10-07-2025,413111,en
No electricity for 9 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Someshwar,24-10-2024,412306,en
No water supply in the village since 10 days.,no_water_supply,Water,Negative,High,Nimbut,06-09-2024,413110,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Morgaon,11-10-2024,413304,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Malegaon,19-07-2024,413115,en
Water tanker not arrived for 10 days,no_water_supply,Water,Negative,High,Katphal,20-04-2025,413111,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Someshwar,20-06-2025,412306,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Supa,13-03-2024,413109,en
Water tanker not arrived for 3 days,no_water_supply,Water,Negative,High,Someshwar,20-06-2025,412306,en
Garbage is not collected regularly in Bhigwan.,garbage_not_collected,Sanitation,Negative,Medium,Katphal,15-06-2024,413111,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Supa,22-02-2025,413109,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Morgaon,29-03-2025,413304,en
No water supply in the village since 8 days.,no_water_supply,Water,Negative,High,Someshwar,02-05-2024,412306,en
Large potholes on road,road_potholes,Road,Negative,Low,Malegaon,24-08-2025,413115,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Katphal,22-06-2024,413111,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Katphal,10-07-2024,413111,en
Garbage is not collected regularly in Pandharpur.,garbage_not_collected,Sanitation,Negative,Medium,Baramati,31-08-2025,413102,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Baramati,05-02-2024,413102,en
Playground is not maintained properly.,playground_not_maintained,Others,Negative,Low,Someshwar,13-02-2025,412306,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Katphal,21-03-2025,413111,en
No water supply in the village since 10 days.,no_water_supply,Water,Negative,High,Malegaon,16-02-2025,413115,en
Library in village remains closed.,library_closed,Others,Negative,Low,Katphal,02-09-2025,413111,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Morgaon,12-03-2025,413304,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Morgaon,02-11-2024,413304,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Morgaon,23-08-2025,413304,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Katphal,04-06-2024,413111,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Pandare,13-09-2024,413103,en
Large potholes on road,road_potholes,Road,Negative,Low,Baramati,13-12-2024,413102,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Morgaon,15-01-2024,413304,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Baramati,01-08-2025,413102,en
Streetlights are not working at the chowk.,streetlights_not_working,Others,Negative,Low,Pandare,05-07-2025,413103,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Nimbut,27-06-2024,413110,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Nimbut,09-04-2025,413110,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Morgaon,30-07-2024,413304,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Katphal,25-03-2024,413111,en
Water tanker not arrived for 10 days,no_water_supply,Water,Negative,High,Nimbut,29-07-2025,413110,en
Emergency ambulance did not arrive on time.,ambulance_not_arrived,Health,Negative,High,Katphal,14-12-2024,413111,en
Large potholes on road,road_potholes,Road,Negative,Low,Morgaon,07-06-2024,413304,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Malegaon,16-11-2024,413115,en
Water tanker not arrived for 6 days,no_water_supply,Water,Negative,High,Nimbut,01-07-2024,413110,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Pandare,09-02-2025,413103,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Baramati,14-01-2024,413102,en
Health camp needed in village,health_camp_needed,Others,Neutral,Low,Malegaon,16-11-2024,413115,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Baramati,29-01-2024,413102,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Katphal,29-05-2024,413111,en
Frequent power cuts in the evening.,frequent_power_cuts,Electricity,Negative,High,Malegaon,01-06-2024,413115,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Nimbut,01-03-2024,413110,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Supa,03-05-2025,413109,en
No doctor available at PHC.,doctor_not_available,Health,Negative,High,Pandare,04-02-2024,413103,en
No water supply in the village since 10 days.,no_water_supply,Water,Negative,High,Pandare,18-07-2024,413103,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Katphal,25-01-2025,413111,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Supa,30-08-2025,413109,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Baramati,06-01-2024,413102,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Malegaon,28-03-2025,413115,en
No electricity for 9 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Pandare,03-03-2025,413103,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Baramati,14-04-2024,413102,en
Water tanker not arrived for 4 days,no_water_supply,Water,Negative,High,Supa,08-01-2024,413109,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Katphal,05-10-2024,413111,en
No water supply in the village since 2 days.,no_water_supply,Water,Negative,High,Baramati,31-01-2024,413102,en
Electricity supply disrupted in village,other_issue,Electricity,Negative,High,Supa,29-05-2024,413109,en
Village health worker is absent since 9 days.,health_worker_absent,Health,Negative,Medium,Katphal,27-03-2025,413111,en
Water tanker not arrived for 1 days,no_water_supply,Water,Negative,High,Someshwar,07-08-2024,412306,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Malegaon,15-03-2025,413115,en
Water tanker not arrived for 3 days,no_water_supply,Water,Negative,High,Nimbut,01-01-2024,413110,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Someshwar,17-03-2024,412306,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Baramati,25-05-2024,413102,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Supa,04-02-2025,413109,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Malegaon,15-05-2024,413115,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Katphal,26-06-2024,413111,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Nimbut,29-12-2024,413110,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Malegaon,15-08-2025,413115,en
Garbage is not collected regularly in Jejuri.,garbage_not_collected,Sanitation,Negative,Medium,Nimbut,26-12-2024,413110,en
Village health worker is absent since 2 days.,health_worker_absent,Health,Negative,Medium,Baramati,23-01-2025,413102,en
"Handpump is broken, villagers are suffering.",handpump_broken,Water,Negative,High,Morgaon,05-08-2025,413304,en
Drainage cleaning not done in village,drainage_problem,Sanitation,Negative,High,Malegaon,05-02-2024,413115,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Malegaon,14-08-2025,413115,en
Garbage not collected in village,garbage_not_collected,Sanitation,Negative,Medium,Nimbut,15-09-2025,413110,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Someshwar,03-06-2024,412306,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Someshwar,04-05-2025,412306,en
Library in village remains closed.,library_closed,Others,Negative,Low,Supa,21-03-2024,413109,en
Water tanker not arrived for 2 days,no_water_supply,Water,Negative,High,Morgaon,02-08-2024,413304,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Malegaon,08-02-2024,413115,en
Library in village remains closed.,library_closed,Others,Negative,Low,Malegaon,02-12-2024,413115,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Someshwar,06-02-2025,412306,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Nimbut,29-09-2024,413110,en
Village road is damaged due to rain.,road_potholes,Road,Negative,Low,Baramati,17-12-2024,413102,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Katphal,31-01-2025,413111,en
No water supply in the village since 1 days.,no_water_supply,Water,Negative,High,Nimbut,10-04-2024,413110,en
Road construction is pending for months.,new_road_required,Road,Neutral,Low,Nimbut,15-05-2024,413110,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Baramati,05-12-2024,413102,en
Village health worker is absent since 3 days.,health_worker_absent,Health,Negative,Medium,Pandare,23-09-2024,413103,en
No water supply in the village since 2 days.,no_water_supply,Water,Negative,High,Katphal,04-08-2025,413111,en
Large potholes on road,road_potholes,Road,Negative,Low,Supa,17-01-2024,413109,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Katphal,05-01-2024,413111,en
No electricity for 1 hours continuously.,prolonged_power_cut,Electricity,Negative,High,Katphal,30-11-2024,413111,en
Frequent power cuts affecting studies,frequent_power_cuts,Electricity,Negative,High,Morgaon,29-12-2024,413304,en
Medicines are not available at PHC.,medicines_not_available,Health,Negative,Medium,Malegaon,25-05-2024,413115,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Pandare,03-03-2024,413103,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Someshwar,21-04-2025,412306,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Malegaon,08-02-2025,413115,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Morgaon,24-04-2024,413304,en
Drainage water is overflowing on the streets.,other_issue,Sanitation,Negative,Medium,Morgaon,26-07-2024,413304,en
New road construction needed in village,new_road_required,Road,Neutral,Low,Baramati,28-05-2025,413102,en
Library in village remains closed.,library_closed,Others,Negative,Low,Katphal,22-03-2025,413111,en
Library in village remains closed.,library_closed,Others,Negative,Low,Morgaon,12-04-2024,413304,en
No one available at panchayat office,panchayat_office_empty,Administrative,Negative,Low,Morgaon,16-07-2024,413304,en
Drinking water tank is empty.,water_tank_empty,Water,Negative,High,Pandare,28-12-2024,413103,en
Drinking water problem in village,drinking_water_problem,Water,Negative,High,Morgaon,31-07-2024,413304,en
No teachers in village school,teachers_not_available,Education,Negative,Low,Supa,22-06-2025,413109,en
Dustbins are overflowing everywhere.,garbage_not_collected,Sanitation,Negative,Medium,Nimbut,28-04-2024,413110,en
Garbage is not collected regularly in Someshwar.,garbage_not_collected,Sanitation,Negative,Medium,Pandare,05-07-2025,413103,en
